BibNum,Title,Author,ISBN,PublicationYear,Publisher,Subjects,ItemType,ItemCollection,FloatingItem,ItemLocation,ReportDate,ItemCount
2872935,The U.S. Army Rangers : the missions / by William Caper.,"Caper, William","1429686596, 9781429686594",2013.,"Capstone Press,",United States Army Commando troops Juvenile literature,jcbk,ncnf,NA,rbe,2017-09-01T00:00:00.000,1
2792404,Wishes and worries : coping with a parent who drinks too much alcohol / presented by the Centre for Addiction and Mental Health ; illustrated by Lars Rudebjer.,,"1770492380, 9781770492387",2011.,"Tundra Books,","Children of alcoholics Juvenile literature, Alcoholics Family relationships Juvenile literature",jcbk,ccnf,NA,cen,2017-09-01T00:00:00.000,1
2967007,Robots / Melissa Stewart.,"Stewart, Melissa","1426313446, 1426313454, 9781426313448, 9781426313455",[2014],"National Geographic,","Robots Juvenile literature, Robots",jcbk,ncnf,NA,gwd,2017-09-01T00:00:00.000,1
2987954,The Romanov sisters : the lost lives of the daughters of Nicholas and Alexandra / Helen Rappaport.,"Rappaport, Helen","1250020204, 9781250020208",2014.,"St. Martin's Press,","Nicholas II Emperor of Russia 1868 1918 Assassination, Nicholas II Emperor of Russia 1868 1918 Family Assassination, Romanov House of History 20th century Sources, Princesses Russia Biography Sources, Sisters",acbk,nanf,NA,cap,2017-09-01T00:00:00.000,1
2130621,Fire fighters : stories of survival from the front lines of firefighting / edited by Clint Willis.,,1560254025,c2002.,"Thunder's Mouth Press : Distributed by Publishers Group West,","Fire extinction, Survival, Fires",acbk,canf,NA,cen,2017-09-01T00:00:00.000,2
3167001,Melba's American comfort : 100 recipes from my heart to your kitchen / Melba Wilson ; photography by Melissa Hom.,"Wilson, Melba (Chef),","1476795282, 1476795304, 9781476795287, 9781476795300",2016.,"Atria Books,","Cooking American Southern style, Comfort food, Cookbooks",acbk,nanf,NA,bea,2017-09-01T00:00:00.000,1
2745277,The corn maiden and other nightmares / Joyce Carol Oates.,"Oates, Joyce Carol, 1938-","0802126022, 9780802126023",c2011.,"Mysterious Press,","Short stories, Suspense fiction, Horror fiction",acbk,nafic,NA,bro,2017-09-01T00:00:00.000,1
3277676,Filling her shoes : a memoir of an inherited family / Betsy Graziana Fasbinder.,"Fasbinder, Betsy Graziani.","1631521985, 9781631521980",2017.,"She Writes Press,","Fasbinder Betsy Graziani Family, Stepmothers United States Biography, Stepfamilies United States Biography",acbk,canf,NA,cen,2017-09-01T00:00:00.000,1
3068849,The autumn republic / Brian McClellan.,"McClellan, Brian, 1986-","0316219118, 0316219126, 9780316219112, 9780316219129",2015.,"Orbit,","Kings and rulers Fiction, Imaginary wars and battles Fiction, Imaginary places Fiction, Betrayal Fiction, Wizards Fiction, Fantasy fiction",acbk,casf,NA,cen,2017-09-01T00:00:00.000,2
2044450,"American furniture : tables, chairs, sofas & beds / Marvin D. Schwartz ; with revisions by Elizabeth von Habsburg ; photographs by Chun Y. Lai.","Schwartz, Marvin D.",157912108X,c2000.,"Black Dog & Leventhal : Distributed by Workman Pub. Co.,","Tables United States, Chairs United States, Sofas United States, Beds United States",acbk,canf,NA,cen,2017-09-01T00:00:00.000,2
443857,,,,,,,acmus,camus,NA,cen,2017-09-01T00:00:00.000,1
2968611,"Iron Man. The secret origin of Tony Stark, Book 1 / writer, Kieron Gillen ; penciler, Greg Land (#6-8) ; artist, Dale Eaglesham (9-11) ; inker, Jay Leisten (#6-8) ; colorist, Guru-eFX ; letterer, VC's Joe Caramagna.","Gillen, Kieron","0785168346, 9780785168348",2013.,"Marvel Worldwide, Inc.,","Iron Man Fictitious character Comic books strips etc, Superheroes Comic books strips etc, Science fiction comic books strips etc, Graphic novels, Superhero comic books strips etc",acbk,nycomic,NA,col,2017-09-01T00:00:00.000,1
488817,Dutch and Flemish paintings from the Hermitage.,,"0810911396, 087099509X, 0870995103",1988.,"Metropolitan Museum of Art ; Art Institute of Chicago ; Distributed by Abrams,","Gosudarstvennyi Ermitazh Russia Exhibitions, Painting Dutch 17th century Exhibitions, Painting Dutch 18th century Exhibitions, Painting Flemish 17th century Exhibitions, Painting Flemish 18th century Exhibitions",acbk,canf,NA,cen,2017-09-01T00:00:00.000,1
3275106,The secret grave / Lois Ruby.,"Ruby, Lois","0545932505, 9780545932509",[2017],"Scholastic Inc.,","Haunted places Juvenile fiction, Friendship Juvenile fiction, Friendship Fiction, Ghosts Fiction, Ghost stories",jcbk,ccfic,NA,cen,2017-09-01T00:00:00.000,1
445120,,,,,,,acmus,camus,NA,cen,2017-09-01T00:00:00.000,1
2874263,The wild beasts of Wuhan : an Ava Lee novel / Ian Hamilton.,"Hamilton, Ian, 1946-","1250032296, 1250035155, 9781250032294, 9781250035158",2013.,"Picador,","Lee Ava Fictitious character Fiction, Women accountants Fiction, Forensic accounting Fiction, Elite Social sciences China Fiction, Painting Forgeries Fiction, Art dealers Fiction, Mystery fiction",acbk,nafic,NA,bal,2017-09-01T00:00:00.000,1
3220551,"Da da da! Die di chao ren / wen/tu, Gongxi Daye ; yi, Chen Yushu.","Miyanishi, Tatsuya, 1956-","9789862116326, 9862116323",2016.,"Xiao lu wen hua,","Fathers Juvenile fiction, Picture books for children, Chinese language materials",jcbk,ncln,NA,lcy,2017-09-01T00:00:00.000,1
3174467,"13 hours [videorecording] : the secret soldiers of Benghazi / Paramount Pictures ; a 3 Arts Entertainment/Bay Films production ; produced by Erwin Stoff, Michael Bay ; screenplay by Chuck Hogan ; directed by Michael Bay.",,,[2016],"Paramount,","Terrorism Drama, Benghazi Consulate Attack Banghazi Libya 2012 Drama, Courage Drama, War films, Action and adventure films, Feature films, Fiction films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities",acdvd,nadvd,Floating,spa,2017-09-01T00:00:00.000,2
2440310,Frankenstein : a cultural history / Susan Tyler Hitchcock.,"Hitchcock, Susan Tyler","0393061442, 9780393061444",c2007.,"W.W. Norton,","Shelley Mary Wollstonecraft 1797 1851 Frankenstein, Frankenstein Victor Fictitious character, Literature and society History, Scientists in literature, Monsters in literature",acbk,canf,NA,cen,2017-09-01T00:00:00.000,1
83737,"Imagination and the spirit; essays in literature and the Christian faith, presented to Clyde S. Kilby. Edited by Charles A. Huttar.",,,[1971],Eerdmans,Christianity and literature,acbk,canf,NA,cen,2017-09-01T00:00:00.000,1
311693,Women in aviation.,"Peckham, Betty Clock, 1906-",,c1945.,"Nelson,",Women in aeronautics,arbk,caaero,NA,cen,2017-09-01T00:00:00.000,1
3165152,No shred of evidence / Charles Todd.,"Todd, Charles","0062386182, 9780062386182",[2016],"William Morrow, an imprint of HarperCollinsPublishers,","Rutledge Ian Fictitious character Fiction, Police Great Britain Fiction, Murder Investigation Fiction, Mystery fiction, Historical fiction",acbk,camys,NA,cen,2017-09-01T00:00:00.000,4
3271750,Sex and the city. Season 4 / HBO.,,"1419889974, 9781419889974",[2010],"Home Box Office : Distributed by Warner Bros. Entertainment,","Female friendship New York State New York Drama, Dating Social customs New York State New York Drama, Sex customs New York State New York Drama, New York N Y Social life and customs Drama, Television series, Television comedies, Fiction television programs, Video recordings for the hearing impaired",acdvd,cadvd,NA,cen,2017-09-01T00:00:00.000,2
2856305,"Memorial / written by Chris Roberson ; art by Rich Ellis ; colors by Grace Allison ; letters by Neil Uyetake, Robbie Robbins, and Shawn Lee.","Roberson, Chris","1613773544, 9781613773543",c2012.,"IDW Publishing,","Fantasy comic books strips etc, Graphic novels",acbk,nacomic,NA,net,2017-09-01T00:00:00.000,1
1646212,The comic toolbox : how to be funny even if you're not / by John Vorhaus.,"Vorhaus, John",1879505215,c1994.,"Silman-James Press,",Comedy,acbk,canf,NA,cen,2017-09-01T00:00:00.000,2
732430,"Pioneering Ganders : a genealogy of John and Leah Ganders on the Bickleton frontier of the Territory and State of Washington, 1884-1974 / by Harry S. Ganders.","Ganders, Harry Stanley, 1894-",,1974.,"Syracuse University,",Ganders family,arbk,caref,NA,cen,2017-09-01T00:00:00.000,1
